epoch,accuracy,loss,val_accuracy,val_loss
0,0.7075351476669312,0.6400163769721985,0.7356321811676025,0.598702073097229
1,0.8058748245239258,0.505843460559845,0.8160919547080994,0.46739456057548523
2,0.8620689511299133,0.3816254734992981,0.8850574493408203,0.36670732498168945
3,0.8710089325904846,0.29389888048171997,0.8965517282485962,0.3124271631240845
4,0.9003831148147583,0.242797389626503,0.9080459475517273,0.2831103205680847
5,0.9067688584327698,0.2241494059562683,0.9080459475517273,0.2865216135978699
6,0.9131545424461365,0.20783787965774536,0.9195402264595032,0.2607306241989136
7,0.9259259104728699,0.1888524442911148,0.9195402264595032,0.23998580873012543
8,0.9246487617492676,0.17714740335941315,0.931034505367279,0.2300560623407364
9,0.9348658919334412,0.16248495876789093,0.9425287246704102,0.21193847060203552
10,0.946360170841217,0.14846423268318176,0.954023003578186,0.20401732623577118
11,0.9527458548545837,0.13908854126930237,0.954023003578186,0.1927824318408966
12,0.9553001523017883,0.13051114976406097,0.977011501789093,0.17826931178569794
13,0.9642400741577148,0.12006119638681412,0.977011501789093,0.17377713322639465
14,0.9642400741577148,0.11190108209848404,0.977011501789093,0.167507141828537
15,0.9719029664993286,0.10244851559400558,0.977011501789093,0.164285346865654
16,0.9719029664993286,0.09613333642482758,0.977011501789093,0.16903966665267944
17,0.9744572043418884,0.08520429581403732,0.977011501789093,0.15922842919826508
18,0.9808428883552551,0.08199471235275269,0.977011501789093,0.15630792081356049
19,0.9782886505126953,0.0780172348022461,0.977011501789093,0.14843560755252838
20,0.9821200370788574,0.0702640637755394,0.977011501789093,0.1457379311323166
21,0.9808428883552551,0.06543868035078049,0.977011501789093,0.13985463976860046
22,0.9859514832496643,0.06283913552761078,0.977011501789093,0.1349167376756668
23,0.9833971858024597,0.05925145745277405,0.977011501789093,0.1297936886548996
24,0.9859514832496643,0.05804617330431938,0.977011501789093,0.12931829690933228
25,0.9859514832496643,0.051536232233047485,0.977011501789093,0.11832544207572937
26,0.984674334526062,0.05090273171663284,0.977011501789093,0.11430245637893677
27,0.984674334526062,0.051285967230796814,0.977011501789093,0.11516349762678146
28,0.984674334526062,0.044003162533044815,0.977011501789093,0.11390221118927002
29,0.984674334526062,0.04631875455379486,0.977011501789093,0.11702421307563782
30,0.9872286319732666,0.04142128303647041,0.977011501789093,0.11248326301574707
31,0.9833971858024597,0.04161369800567627,0.977011501789093,0.10445597022771835
32,0.984674334526062,0.040140632539987564,0.977011501789093,0.10476774722337723
33,0.9859514832496643,0.03750757873058319,0.977011501789093,0.10079833120107651
34,0.9872286319732666,0.03570840507745743,0.977011501789093,0.1089092567563057
35,0.9872286319732666,0.0378732904791832,0.977011501789093,0.10651164501905441
36,0.9859514832496643,0.03267564997076988,0.977011501789093,0.10825791954994202
37,0.9872286319732666,0.034584879875183105,0.977011501789093,0.10915618389844894
38,0.9859514832496643,0.03353875130414963,0.977011501789093,0.11166123300790787
